frame,t_s,min_z,mean_z,v_max
297,0.059400,0.082709,0.282682,0.582097
298,0.059600,0.082592,0.282565,0.584057
299,0.059800,0.082475,0.282449,0.586017
300,0.060000,0.082358,0.282331,0.587977
301,0.060200,0.082240,0.282213,0.589936
302,0.060400,0.082122,0.282095,0.591896
303,0.060600,0.082003,0.281976,0.593856
304,0.060800,0.081884,0.281857,0.595816
305,0.061000,0.081765,0.281738,0.597776
306,0.061200,0.081645,0.281618,0.599735
307,0.061400,0.081525,0.281498,0.601695
308,0.061600,0.081405,0.281378,0.603655
309,0.061800,0.081284,0.281257,0.605615
310,0.062000,0.081162,0.281135,0.607575
311,0.062200,0.081041,0.281014,0.609535
312,0.062400,0.080918,0.280892,0.611494
313,0.062600,0.080796,0.280769,0.613454
314,0.062800,0.080673,0.280646,0.615414
315,0.063000,0.080550,0.280523,0.617374
316,0.063200,0.080426,0.280399,0.619334
317,0.063400,0.080302,0.280275,0.621294
318,0.063600,0.080178,0.280151,0.623254
319,0.063800,0.080053,0.280026,0.625213
320,0.064000,0.079927,0.279901,0.627173
321,0.064200,0.079802,0.279775,0.629133
322,0.064400,0.079676,0.279649,0.631093
323,0.064600,0.079549,0.279523,0.633053
324,0.064800,0.079423,0.279396,0.635013
325,0.065000,0.079295,0.279268,0.636973
326,0.065200,0.079168,0.279141,0.638932
327,0.065400,0.079040,0.279013,0.640892
328,0.065600,0.078911,0.278885,0.642852
329,0.065800,0.078783,0.278756,0.644812
330,0.066000,0.078653,0.278627,0.646772
331,0.066200,0.078524,0.278497,0.648732
332,0.066400,0.078394,0.278367,0.650691
333,0.066600,0.078264,0.278237,0.652651
334,0.066800,0.078133,0.278106,0.654611
335,0.067000,0.078002,0.277975,0.656571
336,0.067200,0.077870,0.277843,0.658531
337,0.067400,0.077738,0.277711,0.660491
338,0.067600,0.077606,0.277579,0.662450
339,0.067800,0.077473,0.277446,0.664410
340,0.068000,0.077340,0.277313,0.666370
341,0.068200,0.077207,0.277180,0.668330
342,0.068400,0.077073,0.277046,0.670289
343,0.068600,0.076939,0.276912,0.672249
344,0.068800,0.076804,0.276777,0.674209
345,0.069000,0.076669,0.276642,0.676169
346,0.069200,0.076533,0.276507,0.678129
347,0.069400,0.076398,0.276371,0.680089
348,0.069600,0.076261,0.276235,0.682049
349,0.069800,0.076125,0.276098,0.684009
350,0.070000,0.075988,0.275961,0.685969
351,0.070200,0.075850,0.275823,0.687928
352,0.070400,0.075713,0.275686,0.689888
353,0.070600,0.075574,0.275548,0.691848
354,0.070800,0.075436,0.275409,0.693807
355,0.071000,0.075297,0.275270,0.695767
356,0.071200,0.075157,0.275131,0.697727
357,0.071400,0.075018,0.274991,0.699687
358,0.071600,0.074878,0.274851,0.701647
359,0.071800,0.074737,0.274710,0.703607
360,0.072000,0.074596,0.274569,0.705567
361,0.072200,0.074455,0.274428,0.707527
362,0.072400,0.074313,0.274286,0.709486
363,0.072600,0.074171,0.274144,0.711446
364,0.072800,0.074028,0.274002,0.713406
365,0.073000,0.073886,0.273859,0.715366
366,0.073200,0.073742,0.273715,0.717326
367,0.073400,0.073599,0.273572,0.719285
368,0.073600,0.073455,0.273428,0.721246
369,0.073800,0.073310,0.273283,0.723205
370,0.074000,0.073165,0.273138,0.725165
371,0.074200,0.073020,0.272993,0.727125
372,0.074400,0.072874,0.272848,0.729085
373,0.074600,0.072728,0.272702,0.731045
374,0.074800,0.072582,0.272555,0.733005
375,0.075000,0.072435,0.272408,0.734964
376,0.075200,0.072288,0.272261,0.736925
377,0.075400,0.072140,0.272114,0.738885
378,0.075600,0.071992,0.271966,0.740844
379,0.075800,0.071844,0.271817,0.742804
380,0.076000,0.071695,0.271668,0.744764
381,0.076200,0.071546,0.271519,0.746723
382,0.076400,0.071397,0.271370,0.748683
383,0.076600,0.071247,0.271220,0.750643
384,0.076800,0.071096,0.271069,0.752603
385,0.077000,0.070946,0.270919,0.754563
386,0.077200,0.070794,0.270768,0.756523
387,0.077400,0.070643,0.270616,0.758482
388,0.077600,0.070491,0.270464,0.760442
389,0.077800,0.070339,0.270312,0.762402
390,0.078000,0.070186,0.270159,0.764362
391,0.078200,0.070033,0.270006,0.766322
392,0.078400,0.069879,0.269853,0.768282
393,0.078600,0.069726,0.269699,0.770241
394,0.078800,0.069571,0.269545,0.772201
395,0.079000,0.069417,0.269390,0.774161
396,0.079200,0.069262,0.269235,0.776121
397,0.079400,0.069106,0.269079,0.778081
398,0.079600,0.068950,0.268924,0.780041
399,0.079800,0.068794,0.268767,0.782001
400,0.080000,0.068638,0.268611,0.783960
401,0.080200,0.068481,0.268454,0.785920
402,0.080400,0.068323,0.268296,0.787880
403,0.080600,0.068165,0.268139,0.789840
404,0.080800,0.068007,0.267980,0.791800
405,0.081000,0.067849,0.267822,0.793760
406,0.081200,0.067690,0.267663,0.795720
407,0.081400,0.067530,0.267504,0.797680
408,0.081600,0.067371,0.267344,0.799639
409,0.081800,0.067211,0.267184,0.801599
410,0.082000,0.067050,0.267023,0.803559
411,0.082200,0.066889,0.266862,0.805519
412,0.082400,0.066728,0.266701,0.807479
413,0.082600,0.066566,0.266539,0.809439
414,0.082800,0.066404,0.266377,0.811399
415,0.083000,0.066241,0.266215,0.813358
416,0.083200,0.066079,0.266052,0.815318
417,0.083400,0.065915,0.265889,0.817278
418,0.083600,0.065752,0.265725,0.819238
419,0.083800,0.065588,0.265561,0.821198
420,0.084000,0.065423,0.265396,0.823158
421,0.084200,0.065258,0.265231,0.825117
422,0.084400,0.065093,0.265066,0.827077
423,0.084600,0.064927,0.264901,0.829037
424,0.084800,0.064761,0.264735,0.830997
425,0.085000,0.064595,0.264568,0.832957
426,0.085200,0.064428,0.264401,0.834917
427,0.085400,0.064261,0.264234,0.836876
428,0.085600,0.064094,0.264067,0.838836
429,0.085800,0.063926,0.263899,0.840796
430,0.086000,0.063757,0.263730,0.842756
431,0.086200,0.063588,0.263562,0.844716
432,0.086400,0.063419,0.263392,0.846676
433,0.086600,0.063250,0.263223,0.848636
434,0.086800,0.063080,0.263053,0.850595
435,0.087000,0.062909,0.262883,0.852555
436,0.087200,0.062739,0.262712,0.854516
437,0.087400,0.062568,0.262541,0.856475
438,0.087600,0.062396,0.262369,0.858435
439,0.087800,0.062224,0.262197,0.860395
440,0.088000,0.062052,0.262025,0.862355
441,0.088200,0.061879,0.261852,0.864315
442,0.088400,0.061706,0.261679,0.866274
443,0.088600,0.061533,0.261506,0.868234
444,0.088800,0.061359,0.261332,0.870194
445,0.089000,0.061185,0.261158,0.872154
446,0.089200,0.061010,0.260983,0.874114
447,0.089400,0.060835,0.260808,0.876074
448,0.089600,0.060660,0.260633,0.878033
449,0.089800,0.060484,0.260457,0.879993
