frame,t_s,min_z,mean_z,v_max
349,0.139600,0.022450,0.212017,1.378046
350,0.140000,0.022411,0.211720,1.382252
351,0.140400,0.022373,0.211422,1.386449
352,0.140800,0.022335,0.211123,1.390640
353,0.141200,0.022297,0.210822,1.394825
354,0.141600,0.022260,0.210520,1.399003
355,0.142000,0.022223,0.210215,1.403171
356,0.142400,0.022187,0.209910,1.407335
357,0.142800,0.022151,0.209603,1.411492
358,0.143200,0.022116,0.209294,1.415644
359,0.143600,0.022081,0.208984,1.419791
360,0.144000,0.022046,0.208672,1.423931
361,0.144400,0.022012,0.208359,1.428066
362,0.144800,0.021978,0.208045,1.432197
363,0.145200,0.021944,0.207728,1.436325
364,0.145600,0.021911,0.207411,1.440450
365,0.146000,0.021878,0.207092,1.444568
366,0.146400,0.021845,0.206771,1.448686
367,0.146800,0.021813,0.206449,1.452797
368,0.147200,0.021781,0.206125,1.456906
369,0.147600,0.021749,0.205800,1.461013
370,0.148000,0.021717,0.205474,1.465114
371,0.148400,0.021686,0.205146,1.469211
372,0.148800,0.021655,0.204817,1.473307
373,0.149200,0.021624,0.204486,1.477399
374,0.149600,0.021593,0.204153,1.481486
375,0.150000,0.021562,0.203820,1.485571
376,0.150400,0.021532,0.203484,1.489654
377,0.150800,0.021502,0.203148,1.493735
378,0.151200,0.021473,0.202810,1.497815
379,0.151600,0.021443,0.202470,1.501891
380,0.152000,0.021414,0.202130,1.505966
381,0.152400,0.021385,0.201787,1.510038
382,0.152800,0.021356,0.201444,1.514109
383,0.153200,0.021328,0.201099,1.518178
384,0.153600,0.021300,0.200753,1.522247
385,0.154000,0.021272,0.200405,1.526311
386,0.154400,0.021244,0.200056,1.530379
387,0.154800,0.021217,0.199705,1.534446
388,0.155200,0.021189,0.199354,1.538512
389,0.155600,0.021162,0.199001,1.542578
390,0.156000,0.021136,0.198646,1.546645
391,0.156400,0.021110,0.198291,1.550712
392,0.156800,0.021084,0.197933,1.554777
393,0.157200,0.021058,0.197575,1.558845
394,0.157600,0.021032,0.197216,1.562915
395,0.158000,0.021007,0.196855,1.566989
396,0.158400,0.020982,0.196493,1.571072
397,0.158800,0.020958,0.196129,1.575165
398,0.159200,0.020934,0.195765,1.579265
399,0.159600,0.020910,0.195399,1.583376
400,0.160000,0.020886,0.195032,1.587493
401,0.160400,0.020863,0.194663,1.591624
402,0.160800,0.020840,0.194294,1.595765
403,0.161200,0.020818,0.193923,1.599916
404,0.161600,0.020796,0.193551,1.604080
405,0.162000,0.020774,0.193178,1.608257
406,0.162400,0.020753,0.192804,1.612449
407,0.162800,0.020732,0.192429,1.616660
408,0.163200,0.020712,0.192053,1.620883
409,0.163600,0.020692,0.191675,1.625126
410,0.164000,0.020672,0.191296,1.629389
411,0.164400,0.020653,0.190917,1.633666
412,0.164800,0.020634,0.190536,1.637962
413,0.165200,0.020616,0.190154,1.642272
414,0.165600,0.020598,0.189771,1.646584
415,0.166000,0.020580,0.189387,1.650887
416,0.166400,0.020563,0.189002,1.655168
417,0.166800,0.020546,0.188617,1.659423
418,0.167200,0.020530,0.188230,1.663648
419,0.167600,0.020514,0.187842,1.667856
420,0.168000,0.020498,0.187453,1.672045
421,0.168400,0.020483,0.187063,1.676211
422,0.168800,0.020468,0.186673,1.680362
423,0.169200,0.020454,0.186281,1.684503
424,0.169600,0.020440,0.185889,1.688655
425,0.170000,0.020426,0.185495,1.692814
426,0.170400,0.020413,0.185101,1.696966
427,0.170800,0.020400,0.184706,1.701111
428,0.171200,0.020387,0.184310,1.705251
429,0.171600,0.020375,0.183914,1.709387
430,0.172000,0.020363,0.183516,1.713520
431,0.172400,0.020351,0.183118,1.717660
432,0.172800,0.020339,0.182719,1.721804
433,0.173200,0.020328,0.182320,1.725934
434,0.173600,0.020316,0.181920,1.730071
435,0.174000,0.020305,0.181519,1.734208
436,0.174400,0.020294,0.181117,1.738344
437,0.174800,0.020284,0.180715,1.742464
438,0.175200,0.020273,0.180313,1.746587
439,0.175600,0.020263,0.179909,1.750718
440,0.176000,0.020252,0.179506,1.754861
441,0.176400,0.020242,0.179101,1.758990
442,0.176800,0.020232,0.178697,1.763106
443,0.177200,0.020223,0.178292,1.767228
444,0.177600,0.020213,0.177886,1.771357
445,0.178000,0.020204,0.177481,1.775511
446,0.178400,0.020195,0.177075,1.779651
447,0.178800,0.020186,0.176668,1.783792
448,0.179200,0.020177,0.176262,1.787894
449,0.179600,0.020168,0.175855,1.791995
450,0.180000,0.020159,0.175448,1.796075
451,0.180400,0.020151,0.175041,1.800161
452,0.180800,0.020142,0.174635,1.804278
453,0.181200,0.020134,0.174228,1.808399
454,0.181600,0.020126,0.173821,1.812520
455,0.182000,0.020118,0.173415,1.816628
